strain	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	NCBI_refseq_accession	NCBI_taxon_identifier	organism	full_scientific_name	plasmids	genome_length	sequencing_platform	genome_status
80813	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Edwardsiella	Edwardsiella anguillarum	131567|2|1224|1236|91347|1903412|635|1821960	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Hafniaceae|Edwardsiella|Edwardsiella anguillarum	NZ_CP006664.1|NZ_CP006665.1|NZ_CP006666.1	667120	Edwardsiella tarda	Edwardsiella tarda 080813	0	4289404	454 GS FLX Titanium|Illumina HiSeq 2000	Complete
WH 8109	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	missing	131567|2|1783272|1798711|1117|1890424|1890426|1129	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria/Melainabacteria group|Cyanobacteria|Synechococcales|Synechococcaceae|Synechococcus	NZ_CP006882.1	166314	Synechococcus	Synechococcus sp. WH 8109	missing	2118903	Sanger	Complete
ACAM 623|ATCC700755	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus torquis	131567|2|1783270|68336|976|117743|200644|49546|83612|57029	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Psychroflexus|Psychroflexus torquis	NC_018721.1	313595	Psychroflexus torquis	Psychroflexus torquis ATCC 700755	0	4324495	454 GS|Sanger	Complete
MED152	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	missing	131567|2|1783270|68336|976|117743|200644|49546|52959	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Polaribacter	NC_020830.1	313598	Polaribacter	Polaribacter sp. MED152	0	2967150	Sanger	Complete
CNPT3	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Psychromonas	missing	131567|2|1224|1236|135622|267894|67572	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Psychromonadaceae|Psychromonas	NC_020802.1	314282	Psychromonas	Psychromonas sp. CNPT3	missing	3077075	454 GS|Sanger	Complete
2.10|DSM24588	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	131567|2|1224|28211|204455|31989|302485|221822	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Phaeobacter|Phaeobacter inhibens	NC_018286.1|NC_018421.1|NC_018422.1|NC_018423.1	383629	Phaeobacter gallaeciensis	Phaeobacter gallaeciensis 2.10(Roseobacter gallaeciensis)	3	4163889	454 GS|Sanger	Complete
Och 149|ATCC 49566|DSM 6996|JCM 21268|NBRC 15278	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter litoralis	131567|2|1224|28211|204455|31989|2433|42443	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Roseobacter|Roseobacter litoralis	NC_015730.1| NC_015729.1|NC_015728.1|NC_015741.1	391595	Roseobacter litoralis	Roseobacter litoralis Och 149	3	4685414	Sanger	Complete
238|DSM 13978|CIP 106732	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	Octadecabacter arcticus	131567|2|1224|28211|204455|31989|53945|53946	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Octadecabacter|Octadecabacter arcticus	NC_020908.1|NC_020909.1|NC_020910.1	391616	Octadecabacter arcticus	Octadecabacter arcticus 238	0	5392102	Sanger	Complete
307	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	Octadecabacter antarcticus	131567|2|1224|28211|204455|31989|53945|1217908	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Octadecabacter|Octadecabacter antarcticus	NC_020911.1|NC_020907.1	391626	Octadecabacter antarcticus	Octadecabacter antarcticus 307	1	4907560	Sanger	Complete
W11-5|MCCC 1A00474|CCTCC AB208236|LMG 25514	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax pacificus	131567|2|1224|1236|135619|224372|59753|1306787	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax pacificus	NZ_CP004387.1	391936	Alcanivorax	Alcanivorax sp. W11-5	missing	4134517	Illumina Genome Analyzer IIx|454 GS FLX	Complete
ND132	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio desulfuricans	131567|2|1224|68525|28221|213115|194924|872|876	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio desulfuricans	NC_016803.1	641491	Desulfovibrio desulfuricans	Desulfovibrio desulfuricans ND132	0	3858983	454 GS|Illumina	Complete
BA175	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella baltica	131567|2|1224|1236|135622|267890|22|62322	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella baltica	NC_017571.1|NC_017572.1|NC_017570.1	693974	Shewanella baltica	Shewanella baltica BA175	2	5185753	454 GS|Illumina	Complete
6111|DSM 198|ATCC 17096	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiocystis	Thiocystis violascens	131567|2|1224|1236|135613|1046|13724|73141	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Thiocystis|Thiocystis violascens	NC_018012.1	765911	Thiocystis violascens	Thiocystis violascens DSM 198	missing	4882882	454 GS|Illumina	Complete
Z-1203|DSM 6578|ATCC 700085	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta thermophila	131567|2|203691|203692|136|137|146|154	cellular organisms|Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Spirochaeta|Spirochaeta thermophila	NC_017583.1	869211	Spirochaeta thermophila	Spirochaeta thermophila DSM 6578	missing	2546241	454 GS|Illumina	Complete
AntiMn-1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	NA	131567|2|1224|1236|72274|468|497	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Psychrobacter	NZ_CP012969.1	1720344	Psychrobacter sp.	Psychrobacter sp. AntiMn-1	missing	3138120	missing	Complete
Sjm18-20:DSM 18026:NBRC 101213	Bacteria	Firmicutes	Clostridiales	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter valericigenes	131567|2|1783272|1239|186801|186802|216572|459786|351091	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Oscillibacter|Oscillibacter valericigenes	NC_016048.1	693746	Oscillibacter valericigenes	Oscillibacter valericigenes Sjm18-20	1	4470622	Sanger ABI 3730	Complete
EM150506	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	NA	131567|2|1783272|1760|1760|85007|85025|1817	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Corynebacteriales|Nocardiaceae|Nocardia	NZ_CP017839.1	37332	Nocardia seriolae	Nocardia seriolae strain EM150506	missing	8304518	PacBio	Complete
DSM 2059	Bacteria	Proteobacteria	Desulfobacterales	Desulfobacterales	Desulfobacteraceae	Desulfococcus	NA	131567|2|1224|68525|28221|213118|213119|896	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfococcus	NZ_CP015381.1:NZ_CP019913.2	897	Desulfococcus multivorans	Desulfococcus multivorans strain DSM 2059	missing	4455399	Sanger	Complete
Mex14	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	NA	131567|2|1224|1236|135622|72275|226	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas	CP018023.1	1917157	Alteromonas sp.	Alteromonas sp. Mex14	missing	4489455	Illumina	Complete
CHN25	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|1236|135623|641|662|717610	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi group	NZ_CP010883.1:NZ_CP010884.1:NZ_CP010885.1: NZ_CP010886.1:NZ_CP010887.1	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus strain CHN25	3	5443401	454	Complete
T436	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	NA	131567|2|1783270|68336|976|117743|200644|49546|143222	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Salegentibacter	NZ_CP012872.1	1729720	Salegentibacter sp.	Salegentibacter sp. T436	missing	4086550	PacBio	Complete
ST58-10	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	NA	131567|2|1224|1236|135619|135620|48075	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Marinobacterium	NZ_CP015839.1	1821621	Marinobacterium sp.	Marinobacterium sp. ST58-10	missing	5191608	PacBio	Complete
AM1-D1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	NA	131567|2|1224|28211|204455|31989|60136	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Sulfitobacter	NZ_CP018076.1:NZ_CP018077.1 :NZ_CP018078.1 :NZ_CP018079.1 :NZ_CP018080.1:NZ_CP018081.1	1917485	Sulfitobacter sp.	Sulfitobacter sp. AM1-D1	5	4691010	PacBio	Complete
DSM 44792:CCUG 46398:CECT 5990:CIP 108094	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sphenisci	131567|2|1783272|1760|1760|85007|1653|1716|191493	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium sphenisci	NZ_CP009248.1	1437874	Corynebacterium sphenisci	Corynebacterium sphenisci DSM 44792	missing	2594799	Illumina	Complete
CIB2401	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Prosthecochloris	NA	131567|2|1783270|68336|1090|191410|191411|191412|1101	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Chlorobi|Chlorobia|Chlorobiales|Chlorobiaceae|Prosthecochloris	NZ_CP016432.1	1868325	Prosthecochloris sp.	Prosthecochloris sp. CIB 2401	missing	2399849	PacBio	Complete
CZ1127:CCTCC AB 2015089:KCTC 42864	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Wenyingzhuangia	NA	131567|2|1783270|68336|976|117743|200644|49546|1518147	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Wenyingzhuangia	NZ_CP014224.1	1790137	Wenyingzhuangia fucanilytica	Wenyingzhuangia fucanilytica strain CZ1127	missing	3427057	Illumina HiSeq 2500	Complete
MY04:CGMCC 2777	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Flammeovirga	NA	131567|2|1783270|68336|976|768503|768507|200667|59739	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Cytophagia|Cytophagales|Flammeovirgaceae|Flammeovirga	NZ_CP003562.1:NZ_CP003560.1:NZ_CP003561.1	1191459	Flammeovirga sp.	Flammeovirga sp. MY04	1	7327614	missing	Complete
LPB0072	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	NA	131567|2|1224|28216|80840|80864|47420	cellular organisms|Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Hydrogenophaga	NZ_CP017476.1	1763535	Hydrogenophaga sp.	Hydrogenophaga sp. LPB0072	missing	4944132	PacBio	Complete
LPB0090	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	NA	131567|2|1224|1236|135622|267889|1518149	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Colwelliaceae|Thalassotalea	NZ_CP017689.1	1763536	Thalassotalea sp.	Thalassotalea sp. LPB0090	missing	3861670	PacBio	Complete
LPB0068	Bacteria	Firmicutes	Bacillales	Bacillales	Paenibacillaceae	Paenibacillus	NA	131567|2|1783272|1239|91061|1385|186822|44249	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus	NZ_CP017770.1:NZ_CP017771.1:NZ_CP017772.1:NZ_CP017773.1	1763538	Paenibacillus sp.	Paenibacillus sp. LPB0068	3	4757181	PacBio	Complete
T4:DSM 8509:IAM 14332	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	NA	131567|2|1224|28211|204457|335929|1041	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Erythrobacter	NZ_CP017057.1	39960	Erythrobacter litoralis	Erythrobacter litoralis strain DSM 8509	missing	3251353	PacBio	Complete
JL2886	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	NA	131567|2|1224|28211|204455|31989|302485	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Phaeobacter	NZ_CP015124.1	60890	Phaeobacter gallaeciensis	Phaeobacter gallaeciensis strain JL2886	missing	4061725	Illumina|PacBio	Complete
B7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	NA	131567|2|1224|28211|356|69277|68287	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium	NZ_CP018171.1:NZ_CP018172.1	1670800	Mesorhizobium sp.	Mesorhizobium sp. B7	1	5324561	Illumina Hiseq 4000 and PacBio RS	Complete
QT520	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|1236|135623|641|662|717610	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi group	NZ_CP018680.2:NZ_CP018681.2:NZ_CP018682.2:NZ_CP018683.2:NZ_CP018684.2	669	Vibrio harveyi	Vibrio harveyi strain QT520	3	6130289	PacBio|Illumina MiSeq	Complete
273	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	131567|2|1224|1236|72274|135621|286|136846|578833	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas stutzeri group|Pseudomonas stutzeri subgroup	NZ_CP015641.1	316	Pseudomonas stutzeri	Pseudomonas stutzeri strain 273	missing	5030940	PacBio	Complete
Env-390	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|1236|135623|641|662	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	NZ_CP013013.1:NZ_CP013014.1	666	Vibrio cholerae	Vibrio cholerae strain Env-390	0	4050927	PacBio	Complete
FF50	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|1236|135623|641|662	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	NZ_CP016177.1:NZ_CP016178.1:NZ_CP016179.1	553239	Vibrio breoganii	Vibrio breoganii strain FF50	1	4492180	PacBio	Complete
90-11-286	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1224|1236|135623|641|662	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	NZ_CP011460.1:NZ_CP011461.1	55601	Vibrio anguillarum	Vibrio anguillarum strain 90-11-286	missing	4342224	Illumina	Complete
Hb3	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halolamina	NA	131567|2157|28890|183963|1644055|1963271|1075397	cellular organisms|Archaea|Euryarchaeota|Halobacteria|Haloferacales|Halorubraceae|Halolamina	NZ_CP018139.1	1480675	Halolamina aestuarii	Halolamina aestuarii strain Hb3	missing	3543891	PacBio	Complete
 SG9	Archaea	Candidatus Nanohaloarchaeota	Nanohaloarchaea	NA	NA	NA	NA	131567|2|188708|188708|2419|1643950|2422	cellular organisms|Archaea|DPANN group|Candidatus Nanohaloarchaeota|Nanohaloarchaea|unclassified Nanohaloarchaea	CP012986.1	1737403	Nanohaloarchaea archaeon	Nanohaloarchaea archaeon SG9	missing	1118574	Illumina	Complete
Mor1	Bacteria	Acidobacteria	NA	NA	NA	NA	NA	131567|2157|28890|183968|2258|2259|2263	cellular organisms|Bacteria|Acidobacteria|unclassified Acidobacteria|Acidobacteria subdivision 22	CP011806.1	1660251	Acidobacteria bacterium	Acidobacteria bacterium Mor1	missing	5989545	Illumina	Complete
DYC	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Fervidobacterium	NA	131567|2|1930617|1962850|1962852|1962854|187144|187145	cellular organisms|Bacteria|Thermotogae|Thermotogae|Thermotogales|Fervidobacteriaceae|Fervidobacterium	NZ_CP011393.1	93466	Fervidobacterium pennivorans	Fervidobacterium pennivorans strain DYC	missing	2061852	PacBio	Complete
CDGS	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	NA	131567|2|1224|28211|356|118882|234	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus	NZ_CP015520.1	1712654	Thermococcus piezophilus	Thermococcus sp. CDGS	missing	1928800	IonTorrent|PacBio	Complete
LF13:DSM 13497:VKM B-2286	Bacteria	Calditrichaeota	Calditrichae	Calditrichales	Calditrichaceae	Caldithrix	Caldithrix abyssi	131567|2|1224|1236|135623|641|662	cellular organisms|Bacteria|Calditrichaeota|Calditrichae|Calditrichales|Calditrichaceae|Caldithrix|Caldithrix abyssi	NZ_CP018099.1	880073	Caldithrix abyssi	Caldithrix abyssi DSM 13497	missing	4978541	Illumina	Complete
141012304	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	NA	131567|2|1224|1236|72273|135616|1237	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Brucella	NZ_LT605585.1:NZ_LT605586.1	1885919	Brucella sp.	Brucella sp. 141012304	missing	3442381	missing	Complete
58	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	131567|2|1783272|1239|91061|186826|81850|1243	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	NZ_CP016556.1:NZ_CP016557.1:NZ_CP016558.1	190893	Vibrio coralliilyticus	Vibrio coralliilyticus strain 58	1	5490011	PacBio	Complete
PM23019A	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1783272|1798711|1117|1955042|1955043|1188227|1188228	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013768.1:NZ_CP013769.1:NZ_CP013770.1:NZ_CP013771.1 :NZ_CP013772.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain PM23019A	4	3308199	PacBio|Illumina Hiseq	Complete
AY3800B	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1224|1236|72273|135616|1237	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013816.1:NZ_CP013817.1:NZ_CP013818.1:NZ_CP013819.1:NZ_CP013820.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain AY3800B	4	3515597	PacBio|Illumina Hiseq	Complete
PM31429B	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1224|1236|72273|135616|1237	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013806.1:NZ_CP013807.1:NZ_CP013808.1:NZ_CP013809.1:NZ_CP013810.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain PM31429B	4	3515768	PacBio|Illumina Hiseq	Complete
PM22180B	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1224|1236|72273|135616|1237	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013801.1:NZ_CP013802.1:NZ_CP013803.1:NZ_CP013804.1:NZ_CP013805.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain PM22180B	4	3509728	PacBio|Illumina Hiseq	Complete
AY6532B	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1224|1236|72273|135616|1237	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013796.1:NZ_CP013797.1:NZ_CP013798.1:NZ_CP013799.1:NZ_CP013800.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain AY6532B	4	3489052	PacBio|Illumina Hiseq	Complete
AY6297B	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1224|1236|72273|135616|1237	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013791.1:NZ_CP013792.1:NZ_CP013793.1:NZ_CP013794.1:NZ_CP013795.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain AY6297B	4	3515553	PacBio|Illumina Hiseq	Complete
PM49811B	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1224|1236|72273|135616|1237	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013781.1:NZ_CP013782.1:NZ_CP013783.1:NZ_CP013784.1:NZ_CP013785.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain PM49811B	4	3515614	PacBio|Illumina Hiseq	Complete
PM51819A	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1224|1236|72273|135616|1237	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013778.1:NZ_CP013779.1:NZ_CP013780.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain PM51819A	2	3429719	PacBio|Illumina Hiseq	Complete
PM37984A	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1224|28211|204455|31989|354203	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013773.1:NZ_CP013774.1:NZ_CP013775.1:NZ_CP013776.1:NZ_CP013777.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain PM37984A	4	3285457	PacBio|Illumina Hiseq	Complete
PM21567A	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1783272|1239|91061|1385|186817|1386	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013762.1:NZ_CP013763.1:NZ_CP013764.1:NZ_CP013765.1:NZ_CP013766.1:NZ_CP013767.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain PM21567A	5	3349099	PacBio|Illumina Hiseq	Complete
AY6492A	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	NA	131567|2|1783270|68336|976|117743|200644|49546|104264	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	NZ_CP013757.1:NZ_CP013758.1:NZ_CP013759.1:NZ_CP013760.1:NZ_CP013761.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain AY6492A	4	3354469	PacBio|Illumina Hiseq	Complete
CCB-MM3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yangia	NA	131567|2|1783272|1760|1760|85010|2070|65496	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Yangia	NZ_CP014595.1:NZ_CP014596.1:NZ_CP014597.1:NZ_CP014598.1:NZ_CP014599.1:NZ_CP014600.1:NZ_CP014601.1	1792508	Yangia sp.	Yangia sp. CCB-MM3	5	5522061	missing	Complete
Alg07	Bacteria	Firmicutes	Bacillales	Bacillales	Bacillaceae	Bacillus	NA	131567|2|1783272|1760|1760|85010|2070|65496	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus	missing	1547283	Bacillus weihaiensis	Bacillus sp. Alg07	1	4361276	PacBio RS II	Complete
DAU203	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	NA	131567|2|1783272|1239|91061|1385|186817|1386	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Cellulophaga	missing	979	Cellulophaga lytica	Cellulophaga lytica strain DAU203	missing	3952957	PacBio	Complete
ADI127-7	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinoalloteichus	NA	131567|2|1783272|1239|186801|186802|541000|1508657|1510|29351	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinoalloteichus	missing	1612552	Actinoalloteichus sp.	Actinoalloteichus sp. ADI127-7	missing	7120854	Illumina	Complete
