Assemblies	gsa (short)	gsa (long)	gsa(hybrid)	HipMer (short)	Flye (long)	Flye (hybrid)	Flye_strain (long)	Flye strain (hybrid)	HipMer2 (short)	SPAdes (short)	MEGAHIT (short)	OPERA-MS (hybrid)	Flye inhouse (hybrid)
RNODE_504_length_4144_cov_7.77525	-	-	-	-	10	10	10	10	-	-	-	-	10
RNODE_505_length_8295_cov_9.15006	4.271	21.355	31.333	1.093	10	10	10	10	2.59	-	-	-	10
RNODE_506_length_4092_cov_6.23826	-	-	-	-	10	10	10	10	-	-	-	-	10
RNODE_507_length_1987_cov_46.05898	73.68	92.27	95.332	10	-	-	-	-	10	10	9.141	10	-
RNODE_508_length_1879_cov_11.34540	-	3.123	3.123	-	-	-	-	-	-	-	-	-	-
RNODE_510_length_1545_cov_4.91248	3.671	-	7.655	-	-	-	-	-	3.957	-	-	-	-
RNODE_511_length_2859_cov_7.60477	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_514_length_7618_cov_5.62957	37.602	61.916	63.499	9.815	10	10	10	10	9.227	10.167	10	10	10
RNODE_516_length_4468_cov_33.78336	-	-	-	-	9.98	9.98	9.98	9.98	-	-	-	-	9.98
RNODE_517_length_2527_cov_12.78156	-	44.378	39.662	2.541	-	-	-	-	-	-	8.373	8.063	-
RNODE_519_length_4527_cov_27.40475	99.012	95.333	99.114	10	10	10	10	10	10	10	10	9.563	10
RNODE_51_length_2136_cov_5.31315	28.089	6.731	31.012	7.701	-	-	-	-	9.849	-	-	-	-
RNODE_520_length_3075_cov_27.97119	48.832	61.848	92.003	10	-	-	-	-	10	-	-	-	-
RNODE_525_length_3666_cov_9.03954	98.759	96.705	99.128	10	10	10	10	10	10	-	-	-	9.98
RNODE_526_length_2764_cov_10.07362	30.265	47.003	57.235	10	-	-	-	-	10.037	10	10	10	-
RNODE_529_length_1514_cov_4.48325	98.728	97.306	99.415	10	-	-	-	-	8.245	10	10	9	-
RNODE_52_length_1655_cov_3.75934	-	6.987	10.043	-	-	-	-	-	-	-	-	-	-
RNODE_533_length_2589_cov_10.83519	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_535_length_1698_cov_14.80778	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_536_length_2671_cov_5.65343	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_538_length_1336_cov_10.45341	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_53_length_5801_cov_10.05503	12.071	37.396	47.205	9.4	9.978	9.978	9.978	9.978	9.36	4.298	9.081	8.984	10
RNODE_541_length_5933_cov_6.74656	0.881	15.473	15.169	-	10	10	10	10	-	-	-	-	10
RNODE_542_length_2159_cov_35.95760	4.927	39.792	56.496	6.411	-	-	-	-	2.515	-	-	-	-
RNODE_543_length_8600_cov_5.33630	-	4.204	4.565	-	10	10	10	10	-	-	-	-	10
RNODE_545_length_2037_cov_103.39869	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_546_length_1712_cov_11.02048	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_547_length_3725_cov_47.04079	1.47	-	1.47	-	10	10	10	10	-	-	-	-	10
RNODE_548_length_4577_cov_9.61395	99.964	99.929	99.971	10	33.484	33.484	38.779	38.779	10	10	10	-	20.998
RNODE_549_length_12275_cov_6.55509	-	-	-	-	10	10	10	10	-	-	-	-	10
RNODE_550_length_2556_cov_54.05540	-	22.633	20.507	-	-	-	-	-	-	-	-	-	-
RNODE_552_length_2139_cov_25.28849	98.582	99.451	99.566	10	-	-	-	-	10	10	10	10	-
RNODE_553_length_2015_cov_11.90704	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_554_length_6559_cov_5.96604	-	-	-	-	10	10	10	10	-	-	-	-	9.998
RNODE_555_length_2155_cov_6.40249	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_556_length_34387_cov_8.27811	1.04	17.209	17.448	-	10	10	10	10	0.359	-	-	-	10
RNODE_558_length_8065_cov_7.29220	12.219	1.429	25.281	7.945	10	10	10	10	7.755	-	0.703	0.641	10
RNODE_561_length_1583_cov_3.83769	47.609	62.736	64.379	10	-	-	-	-	10	3.743	10	9.467	-
RNODE_566_length_1455_cov_10.94416	94.862	75.386	97.725	10	-	-	-	-	10	-	-	-	-
RNODE_567_length_2043_cov_21.53474	16.517	24.532	37.003	7.524	-	-	-	-	9.857	6.951	6.506	6.568	-
RNODE_568_length_4215_cov_4.24868	-	-	1.455	-	-	-	-	-	-	-	-	-	-
RNODE_569_length_1759_cov_4.34949	-	-	9.51	-	-	-	-	-	-	-	-	-	-
RNODE_570_length_2044_cov_6.96707	99.739	99.535	99.862	10	-	-	-	-	10	10	10	-	-
RNODE_571_length_1509_cov_5.57472	21.747	34.867	51.154	9.556	-	-	-	-	9.597	5.249	5.386	4.901	-
RNODE_572_length_1964_cov_10.71878	99.974	99.805	99.984	10	-	-	-	-	10	10	10	9.752	-
RNODE_573_length_3100_cov_6.78384	9.768	32.859	37.284	7.035	-	-	-	-	6.736	7.042	9.801	8.831	-
RNODE_574_length_2604_cov_12.49740	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_575_length_2552_cov_5.49684	98.126	98.477	99.486	10	-	-	-	-	10	10	10	10	-
RNODE_577_length_7056_cov_38.11425	99.956	99.749	99.97	9.947	23.932	23.932	20.559	20.559	9.947	9.917	9.937	1.931	6.895
RNODE_578_length_7436_cov_10.94682	99.716	96.779	99.739	9.978	9.836	9.836	15.483	15.483	9.978	9.921	9.959	9.944	12.205
RNODE_579_length_8791_cov_4.68076	30.226	56.8	59.058	10	9.952	9.952	9.952	9.952	10	10.479	10.14	10	10
RNODE_57_length_1642_cov_4.22716	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_580_length_4156_cov_8.38751	32.325	33.05	48.735	10.078	10	10	10	10	10.08	3.135	3.191	6.926	10
RNODE_581_length_1595_cov_4.44509	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_582_length_6266_cov_6.90437	99.9	99.333	99.916	10	2.051	2.051	2.051	2.051	10	10	10	10	3.987
RNODE_586_length_6115_cov_7.69537	43.874	50.773	69.404	10	10	10	10	10	10	2.589	8.025	8.915	10
RNODE_588_length_1894_cov_3.77861	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_589_length_1668_cov_40.93320	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_58_length_3492_cov_8.06052	-	16.029	16.709	-	-	-	-	-	-	-	-	-	-
RNODE_590_length_2199_cov_166.16738	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_591_length_3620_cov_70.16410	99.975	99.964	99.986	10	63.842	63.842	58.535	58.535	10	10	10	10	100
RNODE_592_length_3754_cov_6.59927	13.889	43.9	46.224	7.1	10	10	10	10	6.574	7.563	9.879	9.162	10
RNODE_593_length_8426_cov_4.28144	16.652	30.333	47.07	9.241	10	10	10	10	9.643	0.656	1.328	2.341	10
RNODE_594_length_1666_cov_5.29552	56.825	85.654	97.324	10	-	-	-	-	10	10	10	10	-
RNODE_595_length_1522_cov_10.57355	75.934	57.754	94.093	10	-	-	-	-	10	11.793	10	10	-
RNODE_596_length_1535_cov_4.05353	-	38.679	40.879	-	-	-	-	-	-	-	-	-	-
RNODE_597_length_13838_cov_20.78765	3.484	25.758	25.035	0.795	10	10	10	10	1.821	-	-	-	10
RNODE_598_length_2095_cov_11.12130	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_599_length_1516_cov_6.51991	18.77	72.602	77.846	9.83	-	-	-	-	10.082	10	10	10	-
RNODE_59_length_7149_cov_6.99495	60.331	68.527	88.363	10	10	10	10	10	10	-	-	-	10
RNODE_61_length_7669_cov_5.82281	99.978	99.806	99.982	10	34.449	34.449	35.946	35.946	10	-	-	-	9.991
RNODE_63_length_9116_cov_7.17902	14.431	37.74	45.34	7.854	9.911	9.911	9.911	9.911	8.241	7.039	8.106	8.403	9.911
RNODE_64_length_2498_cov_2.19628	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_66_length_2707_cov_5.26741	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_69_length_2867_cov_5.28717	-	-	1.793	-	-	-	-	-	-	-	-	-	-
RNODE_6_length_1955_cov_9.45784	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_70_length_1980_cov_24.25332	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_71_length_2272_cov_3.05244	99.702	99.302	99.858	10	-	-	-	-	10.871	10	10	9.418	-
RNODE_72_length_2497_cov_7.54950	14.465	40.703	49.851	9.612	-	-	-	-	6.125	-	-	-	-
RNODE_75_length_1697_cov_2.91164	99.045	98.09	99.487	10	-	-	-	-	10	10	10	10.269	-
RNODE_76_length_3393_cov_4.30851	100	99.97	100	10	98.279	98.279	97.203	97.203	10	10	10	-	-
RNODE_77_length_2624_cov_7.14989	73.267	79.393	95.553	10	-	-	-	-	10	9.147	10	10	-
RNODE_79_length_2421_cov_3.19008	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_7_length_4555_cov_11.97220	1.674	13.066	19.027	-	10	10	10	10	-	0.792	2.146	3.541	10
RNODE_80_length_5133_cov_7.08687	-	1.027	1.256	-	10	10	10	10	-	-	-	-	10
RNODE_81_length_1318_cov_3.55864	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_82_length_2481_cov_3.36397	14.164	65.62	72.717	10	-	-	-	-	10	10	10	10	-
RNODE_83_length_6134_cov_3.71057	99.517	96.958	99.625	10	10	10	10	10	10	10	10	10	10
RNODE_84_length_1477_cov_11.65155	-	10.392	21.966	-	-	-	-	-	-	-	-	-	-
RNODE_85_length_1577_cov_8.00900	99.968	99.505	99.974	10	-	-	-	-	10	10	10	9.473	-
RNODE_86_length_2125_cov_11.11507	99.952	99.9	99.976	10	-	-	-	-	10	10	10	3.804	-
RNODE_87_length_5673_cov_23.00212	-	9.972	10.149	-	10	10	10	10	-	-	-	-	10
RNODE_88_length_5256_cov_29.93752	-	-	-	-	10	10	10	10	-	-	-	-	10
RNODE_8_length_2730_cov_5.02585	-	-	1.883	-	-	-	-	-	-	-	-	-	-
RNODE_92_length_2810_cov_4.09613	38.386	64.867	61.517	10	-	-	-	-	10	-	-	-	-
RNODE_95_length_4335_cov_11.95711	-	-	-	-	1.876	1.876	9.237	9.237	-	-	-	-	10
RNODE_96_length_2623_cov_16.26144	6.255	4.567	21.219	-	-	-	-	-	2.499	3.08	8.181	7.474	-
RNODE_97_length_2902_cov_3.95799	9.865	23.337	37.962	6.517	-	-	-	-	9.236	1.649	2.785	2.785	-
RNODE_99_length_1369_cov_5.25687	99.094	98.285	99.517	10	-	-	-	-	10	10	10	9.993	-
RNODE_9_length_1992_cov_4.69492	-	-	-	-	-	-	-	-	-	-	-	-	-
Rhizopycnis_vagum_MPI_FR1_AT_0346.contigs	0.868	11.986	12.565	0.019	-	-	-	-	0.073	0.005	0.014	0.007	-
Sarocladium_strictum_MPI_IT2_AT_0306.contigs	4.052	32.519	35.972	0.003	0	0.001	0.001	0.001	0.005	0.001	-	0.001	0
Sarocladium_strictum_MPI_SWE4_AT_0554.contigs	0.465	9.503	9.924	-	0	-	-	-	0.001	-	0.001	0.001	-
Sporobolomyces_sasicola_MPI_IT2_AT_0310.contigs	61.129	83.605	94.26	0.669	-	-	-	-	2.075	0.154	0.228	0.178	-
Talaromyces_verruculosus_MPI_SP2_AT_0411.contigs	12.112	46.715	54.402	0.158	-	0	-	0	0.224	0.031	0.071	0.05	-
Truncatella_angustata_MPI_SW4_AT_0541.contigs	85.111	93.63	99.172	3.49	0.011	0.011	0.011	0.011	9.239	0.43	0.722	0.591	-
Umbelopsis_autotrophica_MPI_SW4_AT_0611.contigs	0.061	4.475	4.568	-	-	-	-	-	-	-	-	-	-
Verticillium_dahliae_MPI_FR1_AT_0353.contigs	62.735	83.874	94.497	0.508	0.005	0.005	0.005	0.005	1.881	0.078	0.107	0.078	-
